id       trxType     moveType     accountType     amount     movedAt                      accountName               
2629     1           1            2               40.0       2022-12-02T12:21:00.000Z     BANQUITO FERTIZA          
2565     1           1            2               40.0       2022-10-29T15:51:00.000Z     BANQUITO FERTIZA          
2479     1           1            2               40.0       2022-10-01T21:09:00.000Z     BANQUITO FERTIZA          
2411     1           1            2               40.0       2022-08-31T13:30:00.000Z     BANQUITO FERTIZA          
2338     1           1            2               40.0       2022-07-30T15:28:00.000Z     BANQUITO FERTIZA          
2274     1           1            2               40.0       2022-06-30T12:34:00.000Z     BANQUITO FERTIZA          
2228     1           1            2               100.0      2022-06-09T15:02:00.000Z     BANQUITO FERTIZA          
2188     1           1            2               40.0       2022-05-31T12:42:00.000Z     BANQUITO FERTIZA          
2097     1           1            2               40.0       2022-04-30T16:27:00.000Z     BANQUITO FERTIZA          
1917     1           1            2               40.0       2022-04-01T19:56:00.000Z     BANQUITO FERTIZA          
1868     1           1            2               40.0       2022-03-02T14:28:00.000Z     BANQUITO FERTIZA          
1795     1           1            2               40.0       2022-02-01T14:23:00.000Z     BANQUITO FERTIZA          
1683     1           1            2               40.0       2021-12-21T18:56:00.000Z     BANQUITO FERTIZA          
1604     1           1            2               40.0       2021-11-30T01:56:00.000Z     BANQUITO FERTIZA          
1524     1           1            2               40.0       2021-10-30T21:15:00.000Z     BANQUITO FERTIZA          
1439     1           1            2               40.0       2021-09-30T03:34:00.000Z     BANQUITO FERTIZA          
2856     1           1            2               40.0       2023-03-15T00:01:00.000Z     BANQUITO FERTIZA          
2910     1           1            2               40.0       2023-04-07T14:09:00.000Z     BANQUITO FERTIZA          
2938     1           1            2               180.0      2023-04-11T14:33:00.000Z     BANQUITO FERTIZA          
3743     1           1            2               40.0       2024-03-13T20:15:00.000Z     BANQUITO FERTIZA          
4153     4           1            2               40.0       2024-07-13T22:01:44.115Z     BANQUITO FERTIZA          
4074     4           1            2               40.0       2024-06-14T01:42:00.593Z     BANQUITO FERTIZA          
4003     4           1            2               40.0       2024-05-15T16:38:18.148Z     BANQUITO FERTIZA          
3868     4           1            2               40.0       2024-04-15T16:02:09.637Z     BANQUITO FERTIZA          
3053     1           1            2               40.0       2023-04-29T13:49:00.000Z     BANQUITO FERTIZA          
3679     1           1            2               40.0       2024-02-16T14:36:00.000Z     BANQUITO FERTIZA          
3592     1           1            2               40.0       2024-01-13T01:42:00.000Z     BANQUITO FERTIZA          
5624     4           1            2               40.0       2026-01-14T13:56:02.523Z     BANQUITO FERTIZA          
3541     1           1            2               40.0       2023-12-12T01:46:00.000Z     BANQUITO FERTIZA          
3490     1           1            2               40.0       2023-11-14T01:33:00.000Z     BANQUITO FERTIZA          
3436     1           1            2               40.0       2023-10-14T15:04:00.000Z     BANQUITO FERTIZA          
3366     1           1            2               40.0       2023-09-15T01:32:00.000Z     BANQUITO FERTIZA          
3312     1           1            2               40.0       2023-08-15T13:11:00.000Z     BANQUITO FERTIZA          
3226     1           1            2               40.0       2023-07-01T14:30:00.000Z     BANQUITO FERTIZA          
3153     1           1            2               40.0       2023-06-06T00:16:00.000Z     BANQUITO FERTIZA          
4570     4           1            2               13.0       2024-12-13T19:02:58.601Z     BCO. PICHINCHA            
3873     4           1            2               20.0       2024-04-15T17:47:11.277Z     BCO. PICHINCHA            
8        1           1            2               0.0        2020-08-01T05:00:00.000Z     BCO. PICHINCHA            
4712     4           1            2               456.0      2025-02-09T02:07:39.723Z     BCO. PICHINCHA            
4538     4           1            2               38.0       2024-12-04T20:20:23.019Z     CERT. APORTA. CONECEL     
4534     4           1            2               43.0       2024-12-04T15:32:42.545Z     CERT. APORTA. CONECEL     
4332     4           1            2               20.0       2020-01-01T14:01:23.000Z     CERT. APORTA. CONECEL     
